U+1DC0	᷀	e1 b7 80	COMBINING DOTTED GRAVE ACCENT
U+1DC1	᷁	e1 b7 81	COMBINING DOTTED ACUTE ACCENT
U+1DC2	᷂	e1 b7 82	COMBINING SNAKE BELOW
U+1DC3	᷃	e1 b7 83	COMBINING SUSPENSION MARK
U+1DC4	᷄	e1 b7 84	COMBINING MACRON-ACUTE
U+1DC5	᷅	e1 b7 85	COMBINING GRAVE-MACRON
U+1DC6	᷆	e1 b7 86	COMBINING MACRON-GRAVE
U+1DC7	᷇	e1 b7 87	COMBINING ACUTE-MACRON
U+1DC8	᷈	e1 b7 88	COMBINING GRAVE-ACUTE-GRAVE
U+1DC9	᷉	e1 b7 89	COMBINING ACUTE-GRAVE-ACUTE
U+1DCA	᷊	e1 b7 8a	COMBINING LATIN SMALL LETTER R BELOW
U+1DCB	᷋	e1 b7 8b	COMBINING BREVE-MACRON
U+1DCC	᷌	e1 b7 8c	COMBINING MACRON-BREVE
U+1DCD	᷍	e1 b7 8d	COMBINING DOUBLE CIRCUMFLEX ABOVE
U+1DCE	᷎	e1 b7 8e	COMBINING OGONEK ABOVE
U+1DCF	᷏	e1 b7 8f	COMBINING ZIGZAG BELOW
U+1DD0	᷐	e1 b7 90	COMBINING IS BELOW
U+1DD1	᷑	e1 b7 91	COMBINING UR ABOVE
U+1DD2	᷒	e1 b7 92	COMBINING US ABOVE
U+1DD3	ᷓ	e1 b7 93	COMBINING LATIN SMALL LETTER FLATTENED OPEN A ABOVE
U+1DD4	ᷔ	e1 b7 94	COMBINING LATIN SMALL LETTER AE
U+1DD5	ᷕ	e1 b7 95	COMBINING LATIN SMALL LETTER AO
U+1DD6	ᷖ	e1 b7 96	COMBINING LATIN SMALL LETTER AV
U+1DD7	ᷗ	e1 b7 97	COMBINING LATIN SMALL LETTER C CEDILLA
U+1DD8	ᷘ	e1 b7 98	COMBINING LATIN SMALL LETTER INSULAR D
U+1DD9	ᷙ	e1 b7 99	COMBINING LATIN SMALL LETTER ETH
U+1DDA	ᷚ	e1 b7 9a	COMBINING LATIN SMALL LETTER G
U+1DDB	ᷛ	e1 b7 9b	COMBINING LATIN LETTER SMALL CAPITAL G
U+1DDC	ᷜ	e1 b7 9c	COMBINING LATIN SMALL LETTER K
U+1DDD	ᷝ	e1 b7 9d	COMBINING LATIN SMALL LETTER L
U+1DDE	ᷞ	e1 b7 9e	COMBINING LATIN LETTER SMALL CAPITAL L
U+1DDF	ᷟ	e1 b7 9f	COMBINING LATIN LETTER SMALL CAPITAL M
U+1DE0	ᷠ	e1 b7 a0	COMBINING LATIN SMALL LETTER N
U+1DE1	ᷡ	e1 b7 a1	COMBINING LATIN LETTER SMALL CAPITAL N
U+1DE2	ᷢ	e1 b7 a2	COMBINING LATIN LETTER SMALL CAPITAL R
U+1DE3	ᷣ	e1 b7 a3	COMBINING LATIN SMALL LETTER R ROTUNDA
U+1DE4	ᷤ	e1 b7 a4	COMBINING LATIN SMALL LETTER S
U+1DE5	ᷥ	e1 b7 a5	COMBINING LATIN SMALL LETTER LONG S
U+1DE6	ᷦ	e1 b7 a6	COMBINING LATIN SMALL LETTER Z
U+1DE7	ᷧ	e1 b7 a7	COMBINING LATIN SMALL LETTER ALPHA
U+1DE8	ᷨ	e1 b7 a8	COMBINING LATIN SMALL LETTER B
U+1DE9	ᷩ	e1 b7 a9	COMBINING LATIN SMALL LETTER BETA
U+1DEA	ᷪ	e1 b7 aa	COMBINING LATIN SMALL LETTER SCHWA
U+1DEB	ᷫ	e1 b7 ab	COMBINING LATIN SMALL LETTER F
U+1DEC	ᷬ	e1 b7 ac	COMBINING LATIN SMALL LETTER L WITH DOUBLE MIDDLE TILDE
U+1DED	ᷭ	e1 b7 ad	COMBINING LATIN SMALL LETTER O WITH LIGHT CENTRALIZATION STROKE
U+1DEE	ᷮ	e1 b7 ae	COMBINING LATIN SMALL LETTER P
U+1DEF	ᷯ	e1 b7 af	COMBINING LATIN SMALL LETTER ESH
U+1DF0	ᷰ	e1 b7 b0	COMBINING LATIN SMALL LETTER U WITH LIGHT CENTRALIZATION STROKE
U+1DF1	ᷱ	e1 b7 b1	COMBINING LATIN SMALL LETTER W
U+1DF2	ᷲ	e1 b7 b2	COMBINING LATIN SMALL LETTER A WITH DIAERESIS
U+1DF3	ᷳ	e1 b7 b3	COMBINING LATIN SMALL LETTER O WITH DIAERESIS
U+1DF4	ᷴ	e1 b7 b4	COMBINING LATIN SMALL LETTER U WITH DIAERESIS
U+1DF5	᷵	e1 b7 b5	COMBINING UP TACK ABOVE
U+1DF6	᷶	e1 b7 b6	COMBINING KAVYKA ABOVE RIGHT
U+1DF7	᷷	e1 b7 b7	COMBINING KAVYKA ABOVE LEFT
U+1DF8	᷸	e1 b7 b8	COMBINING DOT ABOVE LEFT
U+1DF9	᷹	e1 b7 b9	COMBINING WIDE INVERTED BRIDGE BELOW
U+1DFA	᷺	e1 b7 ba	
U+1DFB	᷻	e1 b7 bb	COMBINING DELETION MARK
U+1DFC	᷼	e1 b7 bc	COMBINING DOUBLE INVERTED BREVE BELOW
U+1DFD	᷽	e1 b7 bd	COMBINING ALMOST EQUAL TO BELOW
U+1DFE	᷾	e1 b7 be	COMBINING LEFT ARROWHEAD ABOVE
U+1DFF	᷿	e1 b7 bf	COMBINING RIGHT ARROWHEAD AND DOWN ARROWHEAD BELOW
